temporada,equipo,puesto,PJ,PG,PP,PF,PC,total_min,total_val,total_puntos,total_min_espana,total_puntos_espana,total_val_espana
15-16,FC Barcelona Lassa,1,34,29,5,2835,2384,6841,2255,2835,1516,679,624
15-16,Real Madrid,2,34,29,5,3229,2767,6816,2310,3229,2710,1310,890
15-16,Valencia Basket Club,3,34,28,6,2831,2501,6868,1650,2831,2388,888,642
15-16,Laboral Kutxa Baskonia,4,34,24,10,2987,2703,6841,1420,2987,366,127,55
15-16,Herbalife Gran Canaria,5,34,21,13,2818,2705,6843,565,2818,1975,737,25
15-16,Unicaja,6,34,20,14,2637,2508,6816,645,2637,2282,643,226
15-16,UCAM Murcia CB,7,34,18,16,2683,2663,6842,100,2683,1586,635,-110
15-16,Montakit Fuenlabrada,8,34,17,17,2793,2854,6844,-305,2793,1708,597,-240
15-16,Iberostar Tenerife,9,34,16,18,2610,2708,6817,-490,2610,2332,741,-145
15-16,Dominion Bilbao Basket,10,34,16,18,2647,2726,6892,-395,2647,2141,841,-157
15-16,Baloncesto Sevilla,11,34,14,20,2662,2873,6866,-1055,2662,2182,740,-240
15-16,CAI Zaragoza,12,34,13,21,2719,2777,6893,-290,2719,2208,780,12
15-16,FIATC Joventut,13,34,13,21,2634,2783,6817,-745,2634,3831,1313,-465
15-16,MoraBanc Andorra,14,34,12,22,2744,2827,6900,-402,2747,1397,347,24
15-16,Rio Natura Monbus Obradoiro,15,34,10,24,2564,2685,6890,-605,2564,1762,541,-123
15-16,ICL Manresa,16,34,10,24,2383,2669,6794,-1445,2383,1199,297,-363
15-16,Movistar Estudiantes,17,34,9,25,2564,2789,6843,-1125,2564,4407,1685,-740
15-16,RETAbet.es GBC,18,34,7,27,2477,2895,6792,-2090,2477,3926,1315,-1202
05-06,Unicaja,1,34,26,8,2753,2512,6794,3067,2753,2415,984,1122
05-06,TAU Cer\xe1mica,2,34,25,9,2855,2607,6796,3139,2855,531,167,260
05-06,Winterthur F.C. Barcelona,3,34,24,10,2747,2551,6816,2989,2747,2403,994,1016
05-06,DKV Joventut,4,34,23,11,2834,2645,6792,2927,2834,2401,1068,1141
05-06,Gran Canaria Grupo Dunas,5,34,20,14,2568,2493,6819,2514,2568,1406,421,382
05-06,Real Madrid,6,34,19,15,2640,2485,6869,2689,2640,1320,526,702
05-06,Akasvayu Girona,7,34,18,16,2739,2701,6793,2754,2739,1961,769,843
05-06,Adecco Estudiantes,8,34,17,17,2770,2832,6816,2851,2770,4900,1721,1880
05-06,Pamesa Valencia,9,34,16,18,2638,2693,6793,2481,2638,1180,382,323
05-06,Alta Gesti\xf3n Fuenlabrada,10,34,15,19,2621,2706,6816,2517,2621,3922,1544,1623
05-06,Caja San Fernando,11,34,14,20,2662,2764,6818,2712,2662,2144,594,612
05-06,Etosa Alicante,12,34,14,20,2574,2639,6816,2584,2574,3346,1137,1310
05-06,C.B. Granada,13,34,14,20,2620,2755,6815,2529,2620,3062,1048,963
05-06,F\xf3rum Valladolid,14,34,13,21,2706,2767,6842,2692,2706,2163,664,622
05-06,Lagun Aro Bilbao Basket,15,34,13,21,2534,2672,6793,2479,2534,2053,612,603
05-06,Llanera Menorca,16,34,12,22,2600,2772,6792,2424,2600,2685,971,819
05-06,Ricoh Manresa,17,34,12,22,2599,2722,6820,2555,2599,3784,1305,1320
05-06,Leche R\xedo,18,34,11,23,2580,2724,6867,2246,2580,1812,500,375
95-96,F.C. Barcelona Banca Catalana,1,38,30,8,3399,3077,7642,3563,3399,4353,1551,1550
95-96,Real Madrid,2,38,28,10,3243,2950,7619,3392,3243,3547,1038,1130
95-96,Unicaja,3,38,26,12,3173,2975,7670,3126,3173,4333,1517,1559
