temporada,equipo,puesto,PJ,PG,PP,PF,PC,total_min,total_val,total_puntos,total_min_espana,total_puntos_espana,total_val_espana,total_jug,jug_esp,jug1,jug3,jug5,mas5,porcentaje_jug_esp,porcentaje_jug_1,porcentaje_jug_3,porcentaje_jug_5,porcentaje_jug_mas5,total_min_no_esp,porcentaje_min_esp,porcentaje_min_no_esp,total_puntos_no_esp,porcentaje_puntos_esp,porcentaje_puntos_no_esp,total_val_no_esp,porcentaje_val_esp,porcentaje_val__no_esp
15-16,FC Barcelona Lassa,1,34,29,5,2835,2384,6841,2255,2835,1516,679,624,16,3,4,3,2,7,0.2,0.2,0.2,0.1,0.4,5325,0.2,0.8,2156,0.2,0.8,1631,0.3,0.7
15-16,Real Madrid,2,34,29,5,3229,2767,6816,2310,3229,2710,1310,890,18,6,6,3,2,7,0.3,0.3,0.2,0.1,0.4,4106,0.4,0.6,1919,0.4,0.6,1420,0.4,0.6
15-16,Valencia Basket Club,3,34,28,6,2831,2501,6868,1650,2831,2388,888,642,17,7,4,5,3,5,0.4,0.2,0.3,0.2,0.3,4480,0.3,0.7,1943,0.3,0.7,1008,0.4,0.6
15-16,Laboral Kutxa Baskonia,4,34,24,10,2987,2703,6841,1420,2987,366,127,55,15,1,3,6,4,2,0.1,0.2,0.4,0.3,0.1,6475,0.1,0.9,2860,0.0,1.0,1365,0.0,1.0
15-16,Herbalife Gran Canaria,5,34,21,13,2818,2705,6843,565,2818,1975,737,25,15,5,4,4,2,5,0.3,0.3,0.3,0.1,0.3,4868,0.3,0.7,2081,0.3,0.7,540,0.0,1.0
15-16,Unicaja,6,34,20,14,2637,2508,6816,645,2637,2282,643,226,18,4,5,7,2,4,0.2,0.3,0.4,0.1,0.2,4534,0.3,0.7,1994,0.2,0.8,419,0.4,0.6
15-16,UCAM Murcia CB,7,34,18,16,2683,2663,6842,100,2683,1586,635,-110,16,6,3,5,1,7,0.4,0.2,0.3,0.1,0.4,5256,0.2,0.8,2048,0.2,0.8,210,-1.1,2.1
15-16,Montakit Fuenlabrada,8,34,17,17,2793,2854,6844,-305,2793,1708,597,-240,16,7,6,5,3,2,0.4,0.4,0.3,0.2,0.1,5136,0.2,0.8,2196,0.2,0.8,-65,0.8,0.2
15-16,Iberostar Tenerife,9,34,16,18,2610,2708,6817,-490,2610,2332,741,-145,19,8,6,4,4,5,0.4,0.3,0.2,0.2,0.3,4485,0.3,0.7,1869,0.3,0.7,-345,0.3,0.7
15-16,Dominion Bilbao Basket,10,34,16,18,2647,2726,6892,-395,2647,2141,841,-157,17,4,5,5,3,4,0.2,0.3,0.3,0.2,0.2,4751,0.3,0.7,1806,0.3,0.7,-238,0.4,0.6
15-16,Baloncesto Sevilla,11,34,14,20,2662,2873,6866,-1055,2662,2182,740,-240,16,4,7,3,3,3,0.2,0.4,0.2,0.2,0.2,4684,0.3,0.7,1922,0.3,0.7,-815,0.2,0.8
15-16,CAI Zaragoza,12,34,13,21,2719,2777,6893,-290,2719,2208,780,12,19,7,10,5,0,4,0.4,0.5,0.3,0.0,0.2,4685,0.3,0.7,1939,0.3,0.7,-302,0.0,1.0
15-16,FIATC Joventut,13,34,13,21,2634,2783,6817,-745,2634,3831,1313,-465,14,8,2,6,2,4,0.6,0.1,0.4,0.1,0.3,2986,0.6,0.4,1321,0.5,0.5,-280,0.6,0.4
15-16,MoraBanc Andorra,14,34,12,22,2744,2827,6900,-402,2747,1397,347,24,16,5,6,6,1,3,0.3,0.4,0.4,0.1,0.2,5503,0.2,0.8,2400,0.1,0.9,-426,-0.1,1.1
